mfcc_1_mean,mfcc_1_std,mfcc_1_max,mfcc_1_min,mfcc_2_mean,mfcc_2_std,mfcc_2_max,mfcc_2_min,mfcc_3_mean,mfcc_3_std,mfcc_3_max,mfcc_3_min,mfcc_4_mean,mfcc_4_std,mfcc_4_max,mfcc_4_min,mfcc_5_mean,mfcc_5_std,mfcc_5_max,mfcc_5_min,mfcc_6_mean,mfcc_6_std,mfcc_6_max,mfcc_6_min,mfcc_7_mean,mfcc_7_std,mfcc_7_max,mfcc_7_min,mfcc_8_mean,mfcc_8_std,mfcc_8_max,mfcc_8_min,mfcc_9_mean,mfcc_9_std,mfcc_9_max,mfcc_9_min,mfcc_10_mean,mfcc_10_std,mfcc_10_max,mfcc_10_min,mfcc_11_mean,mfcc_11_std,mfcc_11_max,mfcc_11_min,mfcc_12_mean,mfcc_12_std,mfcc_12_max,mfcc_12_min,mfcc_13_mean,mfcc_13_std,mfcc_13_max,mfcc_13_min,mfcc_delta_1_mean,mfcc_delta_1_std,mfcc_delta_2_mean,mfcc_delta_2_std,mfcc_delta_3_mean,mfcc_delta_3_std,mfcc_delta_4_mean,mfcc_delta_4_std,mfcc_delta_5_mean,mfcc_delta_5_std,mfcc_delta_6_mean,mfcc_delta_6_std,mfcc_delta_7_mean,mfcc_delta_7_std,mfcc_delta_8_mean,mfcc_delta_8_std,mfcc_delta_9_mean,mfcc_delta_9_std,mfcc_delta_10_mean,mfcc_delta_10_std,mfcc_delta_11_mean,mfcc_delta_11_std,mfcc_delta_12_mean,mfcc_delta_12_std,mfcc_delta_13_mean,mfcc_delta_13_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_contrast_1_mean,spectral_contrast_1_std,spectral_contrast_2_mean,spectral_contrast_2_std,spectral_contrast_3_mean,spectral_contrast_3_std,spectral_contrast_4_mean,spectral_contrast_4_std,spectral_contrast_5_mean,spectral_contrast_5_std,spectral_contrast_6_mean,spectral_contrast_6_std,spectral_contrast_7_mean,spectral_contrast_7_std,spectral_flatness_mean,spectral_flatness_std,zcr_mean,zcr_std,rms_mean,rms_std,rms_max,tempo,file_id,label,label_binary
-713.0766,38.49805,-640.8427,-775.2038,158.71324,43.74783,225.02856,86.68846,104.057846,19.193394,147.69568,30.177345,43.7221,10.476567,72.532326,10.082832,0.6059963,24.565113,40.474266,-36.06514,-16.73826,25.78466,27.192417,-50.48644,-13.113301,17.983688,20.154423,-40.27343,0.18353942,9.180424,20.779951,-20.267529,12.104589,4.347647,23.949375,-3.5214996,16.6451,4.4612927,26.839706,4.5831084,14.831339,7.2677145,28.063576,-5.1182847,12.033584,7.71772,27.309204,-9.051708,12.189218,4.9141803,24.623335,-4.6318703,0.00692227,2.7209876,0.04877152,3.1544535,0.06466351,1.7821608,0.008601242,0.9312083,-0.018280761,1.6625669,-0.0023068348,1.8017467,0.010474238,1.324787,0.0121054575,0.7919256,0.0076400284,0.5284097,-0.0036291545,0.49600488,-0.017584587,0.64324844,-0.017577274,0.72437495,-0.005045632,0.63034815,221.8356988699865,131.8291156404291,206.94836675156319,85.29714677478219,384.74767348345586,241.7332625969514,23.96714461045802,4.501881179491069,12.134725617254922,3.5357390989109874,15.479122192299185,2.9832032471162613,21.44249087948357,5.623276864375245,47.461958422089175,5.697310585147762,16.779690696131148,1.8873767607176792,15.254082742828151,1.116002283451522,3.8125113e-06,8.586815e-05,0.01578826431888545,0.01245099813259755,0.0051898845,0.0017792534,0.01461649,0.0,M_N_RUA,Normal,0
-760.415,51.94764,-691.25507,-834.2219,190.87804,58.39545,268.00702,108.45701,99.37152,23.850115,132.01907,63.905678,22.649414,10.540955,47.688534,-6.8849325,-13.141221,28.166348,32.19969,-52.861336,-24.292967,30.054382,22.04233,-58.76857,-26.257736,22.437033,10.98494,-55.065014,-16.373358,12.210645,5.557664,-36.031982,3.4444568,4.9128127,16.539764,-10.863909,16.67385,3.9352498,29.528158,2.7478924,14.257177,6.87575,29.171816,-3.091906,7.2539034,8.256795,22.11175,-13.317319,7.5977044,5.434192,20.44867,-9.079959,-0.08447833,3.7431781,-0.07416198,4.1316786,-0.019735638,1.6515735,-0.00013693936,0.99534214,0.030065471,2.178455,0.049422868,2.364526,0.04217053,1.9009458,0.03123338,1.1956142,0.02695947,0.66154045,0.021125922,0.5242954,0.010935568,0.6679822,0.009581647,0.7621248,0.011842311,0.58811,371.2245968915745,164.57046158942492,223.9154691466001,59.43136941336637,530.1134611430921,185.7747818226083,20.669759483809727,4.903993488907208,12.859848273830394,3.497337444836155,15.59988547664028,3.23480466912231,21.01757010204919,7.007188920344189,49.97207355291102,6.4442205384055455,14.569150711427262,1.335866612202383,14.953174789106559,1.6780250511318786,1.2269593e-06,5.211853e-06,0.032415525832043345,0.020476413808514615,0.0032823572,0.0027258152,0.009738688,0.0,F_N_LUA,Normal,0
-637.78906,41.561863,-574.6943,-716.9372,142.82341,48.61452,216.95862,48.068798,96.412346,23.94918,136.87259,40.948456,41.809143,8.827468,72.42253,3.251183,-0.53224576,25.01345,42.931423,-37.57656,-19.46616,29.216728,33.44111,-53.371094,-16.727245,22.547852,27.655998,-46.31495,-3.1225913,12.808188,23.786686,-24.642221,9.522469,5.955185,23.121824,-3.855438,15.0214815,3.7687726,26.68557,1.1325123,14.326678,6.009752,27.94847,-2.9181185,12.132625,7.139765,28.463287,-6.844674,12.032132,5.716502,28.286556,-1.6205075,-0.10878069,3.2618344,-0.11934464,3.8708274,-0.059318826,2.1611826,-0.008450627,1.086828,0.04716924,1.9888374,0.081470914,2.3468683,0.06801071,1.9486889,0.036804914,1.2822442,0.015850134,0.763527,0.004448086,0.55253524,-0.0008461756,0.64510924,0.0006696174,0.7407261,0.006342898,0.6554486,250.31081158707892,134.96511751034132,210.05559523688615,89.55009594398123,432.6973835381192,235.11673061232239,24.913333402514805,4.784416025364522,13.181475116357447,3.664752850229063,15.717269563693902,3.1119059421098236,23.761527163524743,6.825423559990537,45.7916736923417,5.7981610124447505,18.52500988076161,2.266319529905032,19.604656516407797,1.51273579910623,1.8064313e-06,3.6968402e-05,0.018593991873065017,0.013247292871426805,0.0080624875,0.0037783042,0.02870604,0.0,F_N_RMA,Normal,0
-694.7298,44.971,-634.9065,-773.61017,164.31874,51.701862,231.47952,71.95364,105.24835,23.094938,137.82217,26.374401,39.08,9.566296,69.5014,17.446392,-8.253323,27.71937,45.6547,-46.48548,-25.465847,29.892532,29.062674,-59.70585,-17.588041,20.646626,23.763634,-46.769707,1.0662203,9.489537,21.655962,-16.46798,16.312485,3.9560468,26.315952,5.5709157,21.09023,4.055995,32.4014,11.3424,17.26057,6.7772727,32.889107,-0.19822204,11.666021,8.151464,29.1218,-6.8772974,9.59733,6.1453276,23.380226,-3.4720693,-0.016626837,3.5763915,0.031953923,4.171194,0.06625175,2.0914338,0.010244154,0.9149206,-0.035602853,2.3561602,-0.046125293,2.646665,-0.039569985,1.9423268,-0.02524998,0.9775447,-0.0027488205,0.4899008,0.017334813,0.55229354,0.023438983,0.6840476,0.01871634,0.77541286,0.008487318,0.6666863,264.91709984318084,141.94306174664237,227.04157489157916,92.10247854623817,467.5138396744388,258.6717739269465,25.064940284023532,4.9497673355096286,11.522189346463492,3.199933094965428,14.303475081412145,2.937617009945372,23.973031645643196,7.1232624743060455,46.729471354645476,5.430870320096088,17.75899267519881,2.259659137320747,16.92888205331039,1.2214363928872822,4.4865897e-07,8.545764e-06,0.019716434065402477,0.013837964829159208,0.005919534,0.0017464404,0.011939516,0.0,F_N_LMA,Normal,0
-821.88,35.853374,-769.4839,-876.01825,203.38,40.816105,263.39798,135.67453,87.13171,17.91247,114.49848,26.996494,9.076261,6.214668,31.802916,-4.6482778,-9.221946,19.251213,26.277874,-37.951027,-13.712372,23.011929,23.109203,-45.471924,-27.814314,19.760612,5.711859,-56.179276,-28.207098,12.269927,5.7508984,-48.643806,-3.8790336,4.752686,7.6308517,-17.90287,17.330212,3.127372,26.651743,5.2356443,14.292379,4.187686,26.192833,1.7571584,3.0476906,5.6007447,18.727707,-11.642493,3.5860803,4.863387,18.41159,-9.213831,0.10861036,2.5186558,0.16017216,2.8100266,0.08724771,1.2605613,-0.037618157,0.62455535,-0.08589752,1.3852963,-0.084192716,1.6814846,-0.07820213,1.570382,-0.059714433,1.1504376,-0.020163456,0.6253975,0.0041955994,0.47697496,-0.0015500917,0.5269481,-0.010254162,0.56988394,-0.004765729,0.52533597,442.04379079124357,94.40193646640367,260.61111623769244,121.86277847447715,649.212740966041,69.52479684071811,20.253410229374694,4.8830645780214015,12.21389429305697,3.2499300743743462,15.868737422018015,3.1247133604172057,18.447815531094154,5.037646956256496,55.106851563172114,6.566331141494007,15.057584728622114,1.351077183968182,15.495413932326946,1.4480140529974685,1.9305675e-05,0.0001371639,0.04109725715944272,0.011836417922855483,0.0010681541,0.0008941595,0.0033189473,0.0,M_N_RLA,Normal,0
-610.5215,39.73687,-542.8599,-681.93726,116.27993,47.490192,198.42786,27.81659,81.66342,26.730654,133.40594,25.248405,40.10861,13.344825,76.94653,15.047405,6.7679696,22.051443,51.4809,-32.22924,-9.54362,24.168688,38.73047,-51.37757,-9.342856,17.461515,29.904198,-41.662113,-0.07993466,9.586674,22.763962,-21.06301,9.416697,6.204512,29.324234,-6.7322154,13.877407,3.911533,25.27663,1.4286184,13.160311,4.7333827,24.220665,-0.07161045,10.315986,7.053963,24.98315,-6.7760944,8.286875,6.1047273,20.723763,-7.1006856,0.08111375,2.738804,0.10569266,3.318013,0.08619427,2.0000727,0.06902452,1.0969089,0.057197947,1.5617039,0.04462707,1.7840804,0.028426085,1.4384294,0.013173411,0.9065605,0.0033336417,0.57020324,-0.0019838477,0.4720642,-0.0051996848,0.52889913,-0.006299241,0.60786974,-0.0050175358,0.56787467,264.5305708900624,144.3510057873977,229.49272315734203,104.17417375267034,453.98058817482587,239.85441433806693,20.057277003313466,4.667261377928876,10.825127820182576,3.19610478008829,14.414170370196077,3.1044064535722433,22.825731904860998,6.695354249564315,46.83150911388883,5.176705366352898,16.047308643246645,1.2324861127955498,15.903396378183531,1.0276880180599592,9.373989e-06,0.00017666971,0.02078974579140867,0.01574307673293722,0.0063616573,0.0071396986,0.049299616,0.0,M_N_LLA,Normal,0
-753.08405,33.891754,-658.7329,-790.2695,131.2495,38.91572,212.26044,87.43164,91.27992,18.286375,129.7091,26.830273,48.392715,6.8103757,62.326363,-3.2768397,17.286545,18.714104,40.12271,-26.356117,1.4251881,21.14418,28.488838,-40.940872,-1.6275073,16.01314,17.338572,-33.350533,4.1745257,9.159822,19.274206,-21.496428,13.0763445,4.81695,27.916155,-2.6194947,18.636919,3.99556,34.58973,5.482033,18.178635,5.7543297,31.2433,-3.8909101,14.450718,6.702746,28.620571,-10.736967,11.381295,5.1308527,21.676678,-4.921645,-0.072934814,3.0738683,-0.097366184,3.448177,-0.063474074,1.6495905,-0.0024491877,0.85647535,0.041857786,1.6642799,0.050573215,1.8681922,0.044350214,1.4758532,0.035481993,0.9495451,0.025127077,0.6211518,0.018152451,0.5348569,0.015080374,0.63045657,0.013453118,0.6983366,0.011549128,0.5947319,158.42677351640089,101.22773252342498,196.47239189697797,65.61140265369588,264.54840031201627,221.28561802617668,22.983530432365434,4.488243389088139,10.702199835071358,3.183717528622266,13.692707936615184,3.0565438255615476,17.473733316985975,4.982220346303444,49.857738944913976,5.393455794019719,16.750226622483616,1.572342989381097,15.752651181535603,0.9945414932031239,4.47625e-07,4.940566e-06,0.00849579140866873,0.0074762049896196755,0.003112243,0.0010592911,0.009268121,0.0,M_PR_RMA,Pleural Rub,1
-744.5261,41.041805,-620.60736,-784.1607,125.03045,48.104717,218.35777,77.502304,91.73228,25.388145,142.22339,29.260534,54.132004,4.5759664,73.78084,5.129422,24.502249,19.178627,45.961884,-13.925994,7.86254,25.54463,32.895584,-40.83242,3.5902197,22.11368,25.07725,-38.30269,7.928241,14.285146,26.091806,-20.961441,15.211416,7.7118,29.266766,-6.9196124,19.892706,5.2664814,30.01989,4.0456667,19.628035,6.129214,30.71009,1.4589832,16.24919,7.446046,28.094711,-4.956009,12.874719,6.70124,24.693169,-7.333112,-0.100254156,3.8337224,-0.09786839,4.3528824,-0.042769052,2.3299322,0.006975484,0.710897,0.06301766,1.6894752,0.076542,2.2379758,0.059606217,1.9899808,0.038212605,1.3817829,0.028010655,0.8720437,0.024712129,0.636102,0.021909233,0.6461016,0.020148573,0.7626629,0.016315427,0.7142852,154.42257986847548,104.1727087979723,168.82826925350267,69.8851283688349,252.5151397421633,212.05211576817524,24.3394243736402,4.396611579315081,11.127757128808687,3.327644060750577,14.377865789544,3.342248786457041,16.907869759784642,5.544892572389629,48.81445497828205,5.529271833392964,16.028076282177086,1.6375356309980986,14.829105952795112,1.0083260152221991,7.360837e-07,1.4751923e-05,0.01024710357004644,0.008516050785567228,0.003908161,0.001211395,0.0115449065,0.0,M_PR_LUA,Pleural Rub,1
-699.6282,37.37188,-601.07635,-747.7443,120.63182,44.918785,202.05823,61.577232,92.376755,26.310566,134.85852,37.08277,57.58791,7.598872,74.90257,19.352356,27.393618,13.925277,46.784275,-4.0812445,9.136721,19.271446,33.613503,-30.165789,3.9412699,16.66236,28.72975,-27.8112,7.526758,11.111434,26.33452,-16.763138,13.433925,7.3153944,27.220325,-1.0797131,16.674366,6.518163,29.695538,-0.04705026,15.648525,8.406951,30.702948,-1.3213923,11.7663355,10.630268,28.513227,-9.682678,7.5630593,10.853128,25.217234,-12.319066,0.010668055,2.704091,0.059667274,3.2102604,0.06215048,2.1032503,-0.0019417666,0.8380348,-0.024723124,0.97200096,-0.01895842,1.3468835,-0.015288073,1.2287163,-0.009393341,0.9675664,0.004099861,0.7861362,0.005292128,0.713477,-0.0050173043,0.7483503,-0.009898871,0.838123,-0.0057443497,0.8503803,144.98505960466724,84.64327474969625,159.77733437548758,87.91802000446393,240.94854301712462,167.00087389047397,24.330142862694906,4.912024948181861,12.252179326736268,4.37903471653923,13.99989628062905,2.9316486972354086,18.199692050888753,5.399132212733479,47.33771367659244,5.477749502228991,16.808242568530954,1.5995306585369151,16.202144476566744,1.0270950019562743,2.551018e-06,5.5227076e-05,0.009554741921439628,0.0064432926549604815,0.005472072,0.0016290833,0.016196985,0.0,F_R_LUA,Rhonchi,1
-725.23645,44.610695,-480.07068,-797.3566,171.45857,49.62891,246.94983,88.27301,109.1602,24.473621,144.61482,15.740461,44.87572,6.73665,65.12422,-5.5254345,0.98732734,20.981077,37.57283,-35.066742,-18.970102,24.867025,24.734852,-53.995255,-20.208363,19.857273,18.176582,-48.36712,-8.836723,11.819471,16.712765,-28.154282,6.398941,6.131226,19.928528,-7.161326,15.097454,5.2203813,26.57705,-4.46893,13.158079,7.6111927,29.450172,-6.1682863,6.101784,10.227554,26.089344,-15.0652275,1.3772365,10.35852,21.246449,-20.631159,-0.1254145,4.066868,0.11198443,4.0184417,0.081095695,2.2663863,-0.006013575,0.8199183,-0.024848735,1.7811913,-0.032455906,2.1170945,-0.032492332,1.7441249,-0.017596342,1.1406049,0.004055593,0.74893075,0.013920562,0.69753176,0.010611423,0.81394637,0.004996943,0.9526903,0.004714384,0.9162169,294.0640504086138,134.94502920964229,217.35886662787985,105.62053567818137,471.713814277767,227.02701321146367,21.36228571219482,4.918033521299753,15.37978484919249,4.650058454658056,15.284326936062028,3.2752085703463307,22.225418670205126,6.556261183183221,48.77321857650867,5.564982530083037,14.894710433413069,1.19294585207883,14.666789632399023,0.9462573535959594,1.0943902e-05,0.00023092276,0.023483607053018576,0.013019918654814075,0.0037187466,0.0022807624,0.01148229,0.0,M_W_LUA,Wheezing,1
